keyword,bill_number
wage,SB0001
SB0001,SB0001
credit,SB0001
tax,SB0001
minimum,SB0001
SB1,SB0001
wage/income,SB0001
SB0002,SB0002
tech,SB0002
SB2,SB0002
infrastructure,SB0002
SB0003,SB0003
tech,SB0003
civil,SB0003
SB3,SB0003
administrative,SB0003
clean,SB0004
tech,SB0004
SB4,SB0004
energy,SB0004
SB0004,SB0004
workforce,SB0004
training,SB0004
tech,SB0005
environmental,SB0005
SB0005,SB0005
SB5,SB0005
safety,SB0005
protection,SB0005
elections,SB0006
SB6,SB0006
SB0006,SB0006
tech,SB0006
election,SB0006
SB0007,SB0007
tech,SB0007
SB7,SB0007
taxation,SB0007
cannabis,SB0007
regulation,SB0007
SB8,SB0008
tech,SB0008
school,SB0008
education,SB0008
SB0008,SB0008
pollution,SB0009
SB9,SB0009
cleanup,SB0009
prevention,SB0009
ash,SB0009
SB0009,SB0009
coal,SB0009
storage,SB0009
SB0010,SB0010
school,SB0010
educator,SB0010
paraprofessional,SB0010
SB10,SB0010
housing,SB0011
SB0011,SB0011
SB11,SB0011
tech,SB0011
procedure,SB0012
tech,SB0012
civil,SB0012
SB0012,SB0012
SB12,SB0012
racing,SB0013
tech,SB0013
SB0013,SB0013
gaming,SB0013
horse,SB0013
SB13,SB0013
1975,SB0013
tech,SB0014
performance,SB0014
SB0014,SB0014
system,SB0014
finance,SB0014
SB14,SB0014
public,SB0014
accountability,SB0014
tech,SB0015
SB15,SB0015
auditing,SB0015
SB0015,SB0015
finance,SB0015
tech,SB0016
sunset,SB0016
regulatory,SB0016
SB16,SB0016
SB0016,SB0016
statutes,SB0017
tech,SB0017
SB0017,SB0017
statute,SB0017
SB17,SB0017
SB0018,SB0018
electronic,SB0018
cd,SB0018
registr,SB0018
election,SB0018
SB18,SB0018
utilities,SB0019
tech,SB0019
SB0019,SB0019
SB19,SB0019
regulation,SB0019
public,SB0019
tech,SB0020
SB20,SB0020
regulation,SB0020
banking,SB0020
SB0020,SB0020
SB0021,SB0021
tobacco,SB0021
products,SB0021
prevention,SB0021
SB21,SB0021
distribution,SB0021
21,SB0021
under,SB0021
sale,SB0021
use,SB0021
minors,SB0021
SB22,SB0022
car,SB0022
vehicle,SB0022
cd,SB0022
dealer,SB0022
SB0022,SB0022
veh,SB0022
sales,SB0022
stations,SB0023
vehicle,SB0023
inspection,SB0023
cd,SB0023
SB0023,SB0023
veh,SB0023
SB23,SB0023
freight,SB0024
size,SB0024
vehicle,SB0024
cd,SB0024
SB0024,SB0024
crew,SB0024
train,SB0024
veh,SB0024
SB24,SB0024
mental,SB0025
SB0025,SB0025
disabilities,SB0025
SB25,SB0025
reproductive,SB0025
health,SB0025
developmental,SB0025
19,SB0026
18,SB0026
SB0026,SB0026
criminal,SB0026
SB26,SB0026
offenses,SB0026
2012,SB0026
student,SB0026
sex,SB0026
telehealth,SB0027
aid,SB0027
code/public,SB0027
ins,SB0027
insurance,SB0027
SB0027,SB0027
SB27,SB0027
sch,SB0028
school,SB0028
pupil,SB0028
attendance,SB0028
cd,SB0028
SB0028,SB0028
daily,SB0028
SB28,SB0028
green,SB0029
zone,SB0029
SB29,SB0029
revenue,SB0029
energy,SB0029
transition,SB0029
SB0029,SB0029
SB0030,SB0030
SB30,SB0030
workplace,SB0030
transparency,SB0030
rights,SB0031
elected,SB0031
officials,SB0031
SB31,SB0031
SB0031,SB0031
human,SB0031
rights,SB0032
mobile,SB0032
SB32,SB0032
SB0032,SB0032
home,SB0032
tenant,SB0032
landlord,SB0032
care,SB0033
expenses,SB0033
elec,SB0033
cd,SB0033
SB0033,SB0033
election,SB0033
SB33,SB0033
child,SB0033
SB34,SB0034
rights,SB0034
elected,SB0034
officials,SB0034
human,SB0034
SB0034,SB0034
mental,SB0035
illness,SB0035
ins,SB0035
cd,SB0035
insurance,SB0035
serious,SB0035
SB35,SB0035
SB0035,SB0035
SB36,SB0036
fees,SB0036
facility,SB0036
SB0036,SB0036
impact,SB0036
safety,SB0036
nuclear,SB0036
fire,SB0037
pencd,SB0037
downstate,SB0037
SB0037,SB0037
article,SB0037
pension,SB0037
secondary,SB0037
empt,SB0037
SB37,SB0037
firefighter,SB0037
dnst,SB0037
SB38,SB0038
order,SB0038
no,SB0038
harassment,SB0038
SB0038,SB0038
sexual,SB0038
contact,SB0038
tx,SB0039
fire,SB0039
SB39,SB0039
tax,SB0039
property,SB0039
prop,SB0039
police,SB0039
SB0039,SB0039
fire,SB0040
counties,SB0040
veteran's,SB0040
municipal,SB0040
department,SB0040
"act,",SB0040
SB0040,SB0040
promotion,SB0040
preference,SB0040
SB40,SB0040
"code,",SB0040
counties,SB0041
tech,SB0041
SB0041,SB0041
SB41,SB0041
local,SB0041
SB0042,SB0042
reimburs,SB0042
medicaid,SB0042
reform,SB0042
SB42,SB0042
home,SB0042
nursing,SB0042
aid,SB0043
tech,SB0043
SB0043,SB0043
SB43,SB0043
public,SB0043
tech,SB0044
environmental,SB0044
SB44,SB0044
safety,SB0044
protection,SB0044
SB0044,SB0044
military,SB0045
tech,SB0045
SB0045,SB0045
service,SB0045
SB45,SB0045
veterans,SB0045
preference,SB0045
SB46,SB0046
tech,SB0046
SB0046,SB0046
education,SB0046
assistance,SB0046
higher,SB0046
student,SB0046
tech,SB0047
civil,SB0047
property,SB0047
SB0047,SB0047
condominium,SB0047
SB47,SB0047
SB48,SB0048
tech,SB0048
civil,SB0048
property,SB0048
condominium,SB0048
SB0048,SB0048
tech,SB0049
civil,SB0049
SB0049,SB0049
property,SB0049
condominium,SB0049
SB49,SB0049
utilities,SB0050
icc,SB0050
report,SB0050
emerging,SB0050
SB0050,SB0050
technology,SB0050
SB50,SB0050
public,SB0050
power,SB0051
report,SB0051
procuremt,SB0051
SB0051,SB0051
agency,SB0051
SB51,SB0051
utilities,SB0052
SB52,SB0052
power,SB0052
economy,SB0052
access,SB0052
assistance,SB0052
energy,SB0052
"act,",SB0052
SB0052,SB0052
study,SB0052
agency,SB0052
public,SB0052
utilities,SB0053
vehicles,SB0053
icc,SB0053
report,SB0053
SB53,SB0053
elec,SB0053
SB0053,SB0053
public,SB0053
SB54,SB0054
control,SB0054
1934,SB0054
home,SB0054
SB0054,SB0054
liquor,SB0054
delivery,SB0054
network,SB0055
tech,SB0055
providers,SB0055
SB0055,SB0055
SB55,SB0055
transportation,SB0055
size,SB0056
waterway,SB0056
SB56,SB0056
SB0056,SB0056
agency,SB0056
fox,SB0056
boat,SB0056
mail,SB0057
elec,SB0057
cd,SB0057
ballot,SB0057
election,SB0057
SB0057,SB0057
SB57,SB0057
firearm,SB0058
repeals,SB0058
id,SB0058
identification,SB0058
SB58,SB0058
SB0058,SB0058
repeal,SB0058
card,SB0058
owners,SB0058
SB0059,SB0059
credit,SB0059
fees,SB0059
course,SB0059
SB59,SB0059
quality,SB0059
dual,SB0059
teachers,SB0060
employer,SB0060
SB0060,SB0060
downstate,SB0060
universities,SB0060
cd,SB0060
pension,SB0060
contributions,SB0060
pen,SB0060
SB60,SB0060
articles,SB0060
fines,SB0061
animal,SB0061
animals,SB0061
SB0061,SB0061
administrative,SB0061
SB61,SB0061
welfare,SB0061
SB0062,SB0062
counties,SB0062
expired,SB0062
recorder,SB0062
SB62,SB0062
liens,SB0062
county,SB0062
division,SB0062
1987,SB0063
ct,SB0063
court,SB0063
program,SB0063
counsel,SB0063
SB0063,SB0063
legal,SB0063
SB63,SB0063
juvenile,SB0063
juv,SB0063
pathway,SB0064
community,SB0064
corr,SB0064
corrections,SB0064
SB0064,SB0064
cd,SB0064
unified,SB0064
SB64,SB0064
1987,SB0065
SB65,SB0065
ct,SB0065
court,SB0065
counsel,SB0065
legal,SB0065
juvenile,SB0065
juv,SB0065
SB0065,SB0065
enforcement,SB0066
SB66,SB0066
information,SB0066
database,SB0066
gang,SB0066
SB0066,SB0066
place,SB0067
school,SB0067
elec,SB0067
SB67,SB0067
cd,SB0067
election,SB0067
polling,SB0067
SB0067,SB0067
tx,SB0068
income,SB0068
donation,SB0068
inc,SB0068
tax,SB0068
SB0068,SB0068
organ,SB0068
SB68,SB0068
SB0069,SB0069
elderly,SB0069
SB69,SB0069
identification,SB0069
exploitation,SB0069
financial,SB0069
criminal,SB0069
income,SB0070
inc,SB0070
tax,SB0070
natural,SB0070
SB70,SB0070
SB0070,SB0070
disaster,SB0070
income,SB0071
SB71,SB0071
inc,SB0071
tax,SB0071
natural,SB0071
SB0071,SB0071
disaster,SB0071
county,SB0072
cook,SB0072
board,SB0072
vacancy,SB0072
election,SB0072
SB0072,SB0072
SB72,SB0072
pres,SB0072
wage,SB0073
2003,SB0073
equal,SB0073
SB73,SB0073
pay,SB0073
history,SB0073
SB0073,SB0073
SB74,SB0074
ethics,SB0074
officials,SB0074
duties,SB0074
employees,SB0074
lec,SB0074
SB0074,SB0074
employee,SB0075
SB0075,SB0075
hotel,SB0075
casino,SB0075
SB75,SB0075
safety,SB0075
SB0076,SB0076
directors,SB0076
corporation,SB0076
business,SB0076
female,SB0076
corp,SB0076
SB76,SB0076
bus,SB0076
1983,SB0076
pro,SB0077
procedure,SB0077
civil,SB0077
civ,SB0077
SB77,SB0077
SB0077,SB0077
article,SB0077
eviction,SB0077
case,SB0077
sealing,SB0077
lgbt,SB0078
SB0078,SB0078
sch,SB0078
school,SB0078
cd,SB0078
SB78,SB0078
history,SB0078
reinstate,SB0079
aid,SB0079
SB79,SB0079
medicaid,SB0079
application,SB0079
SB0079,SB0079
public,SB0079
civil,SB0080
budget,SB0080
SB0080,SB0080
board,SB0080
administrative,SB0080
SB80,SB0080
ed,SB0080
hgher,SB0080
regents,SB0080
cap,SB0081
property,SB0081
tax,SB0081
SB0081,SB0081
assessment,SB0081
SB81,SB0081
SB0082,SB0082
pencd,SB0082
downstate,SB0082
article,SB0082
pension,SB0082
trs,SB0082
contribution,SB0082
SB82,SB0082
teacher,SB0082
employr,SB0082
open,SB0083
SB0083,SB0083
SB83,SB0083
meetings,SB0083
training,SB0083
video,SB0084
use/occ,SB0084
motor,SB0084
"law,",SB0084
system,SB0084
tax,SB0084
emergency,SB0084
gaming,SB0084
SB84,SB0084
gambling,SB0084
telephone,SB0084
SB0084,SB0084
"act,",SB0084
local,SB0084
gov,SB0084
finance,SB0084
fuel,SB0084
riverboat,SB0084
loans,SB0085
consumer,SB0085
secured,SB0085
SB85,SB0085
loan,SB0085
installment,SB0085
SB0085,SB0085
title,SB0085
video,SB0086
SB0086,SB0086
vehicle,SB0086
cd,SB0086
use,SB0086
devices,SB0086
SB86,SB0086
veh,SB0086
tinted,SB0087
vehicle,SB0087
cd,SB0087
SB87,SB0087
SB0087,SB0087
veh,SB0087
lights,SB0087
vehicle,SB0088
SB88,SB0088
cd,SB0088
SB0088,SB0088
veh,SB0088
transportation,SB0088
student,SB0088
firearm,SB0089
crim,SB0089
SB0089,SB0089
concerning,SB0089
cd,SB0089
SB89,SB0089
devices,SB0089
criminal,SB0089
safety,SB0089
2012,SB0089
dissolution,SB0090
drainage,SB0090
SB0090,SB0090
SB90,SB0090
districts,SB0090
tx,SB0091
income,SB0091
SB0091,SB0091
fund,SB0091
SB91,SB0091
inc,SB0091
mcdonald,SB0091
tax,SB0091
ronald,SB0091
ethics,SB0092
commission,SB0092
legis,SB0092
officials,SB0092
employees,SB0092
SB0092,SB0092
SB92,SB0092
lobbyist,SB0093
report,SB0093
SB0093,SB0093
SB93,SB0093
registration,SB0093
lobbyist,SB0094
SB0094,SB0094
SB94,SB0094
conflict,SB0094
registration,SB0094
member,SB0095
ethics,SB0095
SB95,SB0095
lobbying,SB0095
governmental,SB0095
SB0095,SB0095
SB0096,SB0096
ethics,SB0096
online,SB0096
conflicts,SB0096
governmental,SB0096
post,SB0096
SB96,SB0096
SB0097,SB0097
ethics,SB0097
family,SB0097
st,SB0097
lobby,SB0097
SB97,SB0097
member,SB0097
governmental,SB0097
pro,SB0098
procedure,SB0098
practice,SB0098
civil,SB0098
civ,SB0098
add,SB0098
concerning,SB0098
claims,SB0098
part,SB0098
SB98,SB0098
SB0098,SB0098
trust,SB0098
asbestos,SB0098
firearm,SB0099
records,SB0099
SB99,SB0099
identification,SB0099
disposition,SB0099
card,SB0099
owners,SB0099
SB0099,SB0099
water,SB0100
SB100,SB0100
metro,SB0100
reclamation,SB0100
election,SB0100
SB0100,SB0100
fox,SB0100
aid,SB0101
tech,SB0101
SB0101,SB0101
SB101,SB0101
public,SB0101
automated,SB0102
traffic,SB0102
plate,SB0102
control,SB0102
SB102,SB0102
registration,SB0102
"code,",SB0102
counties,SB0102
systems,SB0102
toll,SB0102
SB0102,SB0102
identification,SB0102
sos,SB0102
digital,SB0102
zones,SB0102
vehicle,SB0102
maintenance,SB0102
construction,SB0102
"act,",SB0102
highway,SB0102
,SB0103
SB0103,SB0103
downstate,SB0103
transit,SB0103
district,SB0103
SB103,SB0103
mass,SB0103
"act,",SB0103
local,SB0103
authority,SB0103
veteran,SB0103
