name,party,district,count_sponsored,count_passed,Agriculture,Budget,Commerce_and_Economic_Development,Criminal_Justice,Education,Energy_and_Public_Utilities,Environment,Health,Human_and_Social_Services,Employment_and_Labor,Public_Safety_and_Firearms,Regulation,Taxes,Telecommunications_and_Information_Technology,Transportation,Veterans_Affairs,pass_rate,sponsored_rank_in_party,pass_rate_rank_in_party
Neil Anderson,R,Senate 36,42,13,1,1,1,11,1,1,0,1,0,2,0,11,1,0,5,0,30.952380952380953,18,3
Omar Aquino,D,Senate 2,76,23,0,3,1,2,6,1,0,0,4,17,0,18,4,2,1,0,30.263157894736842,22,20
Jason A. Barickman,R,Senate 53,52,6,0,1,0,13,4,0,0,0,0,7,0,11,1,0,2,0,11.538461538461538,12,18
Christopher Belt,D,Senate 57,44,15,1,3,0,7,6,1,0,2,5,2,0,7,0,0,2,2,34.09090909090909,56,10
Scott M. Bennett,D,Senate 52,68,14,7,3,2,5,7,0,2,0,1,1,0,16,5,1,2,1,20.58823529411765,28,45
Jennifer Bertino-Tarrant,D,Senate 49,52,13,0,1,0,6,11,0,0,0,0,1,0,13,4,1,0,0,25.0,46,26
William E. Brady,R,Senate 44,464,0,0,0,0,2,2,0,0,0,0,0,0,452,5,0,0,0,0.0,1,56
Melinda Bush,D,Senate 31,121,20,1,3,0,10,3,3,3,2,1,3,0,25,5,0,0,0,16.52892561983471,7,67
Cristina Castro,D,Senate 22,92,20,0,0,6,8,4,1,0,1,4,9,0,19,7,3,2,1,21.73913043478261,15,41
Jacqueline Y. Collins,D,Senate 16,42,16,0,0,4,11,6,0,0,5,2,1,0,6,0,0,3,0,38.095238095238095,63,7
Rachelle Crowe,D,Senate 56,68,13,1,2,0,20,5,0,0,1,2,0,0,17,1,0,2,0,19.11764705882353,28,53
Thomas Cullerton,D,Senate 23,60,20,1,2,0,9,8,0,0,1,1,4,0,17,1,0,5,4,33.333333333333336,36,11
Bill Cunningham,D,Senate 18,76,10,1,1,0,6,3,4,1,2,2,5,0,19,2,1,1,0,13.157894736842104,22,81
John F. Curran,R,Senate 41,61,10,0,0,0,18,1,1,2,0,0,3,0,12,1,0,0,0,16.39344262295082,9,9
Donald P. DeWitte,R,Senate 33,45,3,1,2,0,4,1,0,0,0,1,1,0,7,2,0,0,0,6.666666666666667,16,34
Laura Ellman,D,Senate 21,47,8,0,1,1,3,4,5,1,1,0,0,0,10,1,0,2,0,17.02127659574468,52,64
Sara Feigenholtz,D,House 12,71,11,1,3,0,8,1,0,0,0,17,1,0,19,0,0,1,0,15.492957746478874,26,71
Laura Fine,D,Senate 9,85,19,0,4,2,11,1,1,3,2,14,4,0,22,0,0,1,0,22.352941176470587,19,39
Dale Fowler,R,Senate 59,19,3,3,0,0,4,0,0,0,0,0,1,0,3,2,0,2,0,15.789473684210526,46,10
Ann Gillespie,D,Senate 27,31,7,0,0,2,3,5,1,0,0,0,1,0,8,2,0,0,0,22.580645161290324,84,36
Suzy Glowiak Hilton,D,Senate 24,27,9,1,1,1,3,1,0,0,4,2,2,0,5,0,2,0,0,33.333333333333336,96,11
Don Harmon,D,Senate 39,811,13,0,3,2,10,4,2,0,1,5,3,0,564,2,1,10,0,1.6029593094944512,2,114
"Napoleon Harris, III",D,Senate 15,38,3,0,3,0,1,1,0,2,0,1,2,0,11,3,0,3,0,7.894736842105263,73,101
Michael E. Hastings,D,Senate 19,96,10,0,0,2,13,2,4,1,1,2,4,0,28,2,0,4,1,10.416666666666666,11,93
Linda Holmes,D,Senate 42,53,12,9,0,0,6,4,1,1,0,1,1,0,18,5,0,0,0,22.641509433962263,43,35
Mattie Hunter,D,Senate 3,39,4,0,4,0,3,1,0,0,2,3,3,0,7,3,0,2,0,10.256410256410257,70,95
"Emil Jones, III",D,Senate 14,134,9,1,0,4,3,2,0,0,1,1,2,0,14,3,0,3,0,6.7164179104477615,4,104
Patrick J. Joyce,D,Senate 40,15,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0.0,111,115
David Koehler,D,Senate 46,62,9,4,0,0,6,7,7,1,3,3,0,0,16,3,0,1,0,14.516129032258064,34,78
Steven M. Landek,D,Senate 12,13,0,0,0,0,0,0,0,0,0,0,8,0,1,2,0,0,0,0.0,114,115
Kimberly A. Lightford,D,Senate 4,52,11,0,2,3,4,12,0,0,0,2,2,0,9,2,0,1,0,21.153846153846153,46,42
