bill_number,tweet_id,text,date,user,url
SB0224,1234979943668277248,"RT @fringeflowers: Stretch Bracelet with a Rustic Chain of Aged Silver, Copper &amp; Gold Metal Flowers with Rhinestone or Synthetic Turquoise…",Tue Mar 03 23:12:18 +0000 2020,Secret of Aging,https://twitter.com/SecretofAging/status/1234979943668277248
SB1407,1234870038483496961,"During Illinois Ag Breakfast, Illinois Farm Bureau President Rich Guebert urged a no vote on SB1407 he said would n… https://t.co/87un7B3lf4",Tue Mar 03 15:55:34 +0000 2020,Bishop On Air,https://twitter.com/BishopOnAir/status/1234870038483496961
SB1407,1232774064806203401,"Our members were in Springfield this week to meet with legislators about #SB1407, which would require contractors w… https://t.co/goXimZWrWC",Wed Feb 26 21:06:55 +0000 2020,Powering Chicago,https://twitter.com/PoweringChicago/status/1232774064806203401
SB1781,1233427577982922752,RT @J0nathanR0berts: @ILSolarEnergy &amp; @SEIA are in Springfield for our Renewable Energy Lobby Day on 2/26.We are educating legislators on…,Fri Feb 28 16:23:45 +0000 2020,ILSolar Energy Assoc,https://twitter.com/ILSolarEnergy/status/1233427577982922752
SB1781,1232775365988438017,RT @J0nathanR0berts: @ILSolarEnergy &amp; @SEIA are in Springfield for our Renewable Energy Lobby Day on 2/26.We are educating legislators on…,Wed Feb 26 21:12:05 +0000 2020,Mario 🌊,https://twitter.com/mariofornarelli/status/1232775365988438017
SB1781,1232676806152597504,@ILSolarEnergy &amp; @SEIA are in Springfield for our Renewable Energy Lobby Day on 2/26.We are educating legislators… https://t.co/I9mCwZ8q9u,Wed Feb 26 14:40:27 +0000 2020,Jonathan F Roberts,https://twitter.com/J0nathanR0berts/status/1232676806152597504
SB2121,1235824851585126400,RT @whitesox2021: cubs fans are furious they can’t make an attendance joke here,Fri Mar 06 07:09:39 +0000 2020,stevebrown21,https://twitter.com/SB2121/status/1235824851585126400
SB2294,1235254593258479618,Hastings: I ask airlines to show their employees some love and allow them to use their earned leave this way. They… https://t.co/ufgqZ3I2qL,Wed Mar 04 17:23:39 +0000 2020,IL Senate Democrats,https://twitter.com/ILSenDems/status/1235254593258479618
SB2294,1235251922615009280,Press conference in @BlueRoomStream now with @HastingsforIL regarding SB2294 allowing airline employees to use sick… https://t.co/tDeHbIa1cP,Wed Mar 04 17:13:02 +0000 2020,IL Senate Democrats,https://twitter.com/ILSenDems/status/1235251922615009280
SB2294,1233543148976168960,RT @PAFCAUAL: We are watching the progress of Illinois SB2294 which will remove the RLA exemption to the IL Sick Leave Act. By excluding th…,Sat Feb 29 00:02:59 +0000 2020,Craig Symons,https://twitter.com/CraigSymons/status/1233543148976168960
SB2294,1233542337550262272,We are watching the progress of Illinois SB2294 which will remove the RLA exemption to the IL Sick Leave Act. By ex… https://t.co/loGr87PLTd,Fri Feb 28 23:59:46 +0000 2020,Dispatchers United,https://twitter.com/PAFCAUAL/status/1233542337550262272
SB2310,1234967135014838273,The #SenHiEd committee has advanced SB2497. SB2310 from @SenatorLaura is being held for a future hearing. The commi… https://t.co/kpjLctBZ5K,Tue Mar 03 22:21:24 +0000 2020,IL Senate Democrats,https://twitter.com/ILSenDems/status/1234967135014838273
SB2310,1234956776040226816,The #SenHiEd committee has been called to order in Room 212. Today's agenda includes Subject Matter Hearings on sev… https://t.co/E0HQsR4oie,Tue Mar 03 21:40:14 +0000 2020,IL Senate Democrats,https://twitter.com/ILSenDems/status/1234956776040226816
SB2311,1235194096576344065,"RT @RJ_Illinois: We need to ensure families are able to visit incarcerated loved ones! But, IDOC visitors have little redress when they are…",Wed Mar 04 13:23:16 +0000 2020,jobip,https://twitter.com/jobip/status/1235194096576344065
SB2311,1235033026406604800,"RT @RJ_Illinois: Everyone should be able to visit incarcerated loved ones. But, there's no one IDOC visitors can call if they're denied acc…",Wed Mar 04 02:43:13 +0000 2020,Curtis Evans,https://twitter.com/EvansWefixbikes/status/1235033026406604800
SB2311,1234989054401208320,"RT @RJ_Illinois: We need to ensure families are able to visit incarcerated loved ones! But, IDOC visitors have little redress when they are…",Tue Mar 03 23:48:30 +0000 2020,Stephanie,https://twitter.com/StephanieReads/status/1234989054401208320
SB2311,1234988154211323904,"RT @RJ_Illinois: We need to ensure families are able to visit incarcerated loved ones! But, IDOC visitors have little redress when they are…",Tue Mar 03 23:44:55 +0000 2020,ChiBooksWomenPrison ✊❤️📚,https://twitter.com/ChicagoBWP/status/1234988154211323904
SB2311,1234945278668570625,"Everyone should be able to visit incarcerated loved ones. But, there's no one IDOC visitors can call if they're den… https://t.co/11Tk2aze9w",Tue Mar 03 20:54:33 +0000 2020,Restore Justice IL,https://twitter.com/RJ_Illinois/status/1234945278668570625
SB2311,1234922258457677824,"RT @RJ_Illinois: We need to ensure families are able to visit incarcerated loved ones! But, IDOC visitors have little redress when they are…",Tue Mar 03 19:23:04 +0000 2020,Restore Justice Foundation,https://twitter.com/JusticeRestore/status/1234922258457677824
SB2311,1234871878579376129,"We need to ensure families are able to visit incarcerated loved ones! But, IDOC visitors have little redress when t… https://t.co/v8EB3IGUCp",Tue Mar 03 16:02:53 +0000 2020,Restore Justice IL,https://twitter.com/RJ_Illinois/status/1234871878579376129
SB2311,1233433760684822530,"We need to ensure families can visit incarcerated loved ones. But, visitors have no recourse if they're treated unf… https://t.co/c03Ik2wkIY",Fri Feb 28 16:48:19 +0000 2020,Restore Justice IL,https://twitter.com/RJ_Illinois/status/1233433760684822530
SB2311,1233146214096437248,"RT @RJ_Illinois: Thank you for your leadership, @SenatorFine! SB 2311 would ensure families have someone to call when they are denied acces…",Thu Feb 27 21:45:42 +0000 2020,Westside Center for Justice,https://twitter.com/WSC4Justice/status/1233146214096437248
